DATE,TMAX,TMIN
20130101,34.0,26.0
20130102,29.5,15.0
20130103,34.5,12.0
20130104,36.5,23.0
20130105,41.0,19.0
20130106,40.0,28.0
20130107,39.5,19.0
20130108,50.0,20.0
20130109,53.5,26.5
20130110,45.0,24.0
20130111,62.0,41.0
20130112,65.5,43.0
20130113,67.0,36.0
20130114,35.0,24.0
20130115,32.0,22.0
20130116,36.0,26.0
20130117,44.0,28.0
20130118,42.0,19.0
20130119,54.0,34.0
20130120,48.0,28.0
20130121,28.0,13.5
20130122,20.0,7.0
20130123,22.0,10.0
20130124,24.0,14.0
20130125,26.0,18.0
20130126,32.5,18.0
20130127,37.5,17.0
20130128,52.0,34.0
20130129,64.0,47.0
20130130,68.0,34.0
20130131,34.0,19.0
20130201,19.0,7.0
20130202,30.5,11.5
20130203,29.0,16.0
20130204,35.0,13.0
20130205,37.0,22.5
20130206,37.0,26.5
20130207,59.0,29.0
20130208,53.5,31.5
20130209,41.0,21.0
20130210,56.0,25.0
20130211,53.0,33.0
20130212,50.0,28.0
20130213,37.0,23.0
20130214,53.0,27.0
20130215,43.0,26.0
20130216,31.5,17.5
20130217,31.5,13.0
20130218,59.0,18.5
20130219,47.0,25.0
20130220,30.5,19.0
20130221,32.0,20.0
20130222,43.0,27.0
20130223,44.0,30.0
20130224,43.0,25.0
20130225,45.5,20.5
20130226,47.0,34.0
20130227,43.0,34.0
20130228,38.0,33.0
20130301,37.0,31.0
20130302,30.5,26.5
20130303,32.0,21.0
20130304,42.0,16.0
20130305,40.0,30.0
20130306,34.0,29.0
20130307,37.5,29.0
20130308,44.0,24.5
20130309,57.0,25.0
20130310,68.0,43.0
20130311,55.0,38.0
20130312,46.0,33.0
20130313,36.0,26.0
20130314,44.0,21.0
20130315,53.0,26.0
20130316,59.0,37.0
20130317,38.0,34.0
20130318,50.0,34.0
20130319,46.0,29.0
20130320,40.0,24.0
20130321,34.0,20.0
20130322,45.0,18.0
20130323,52.0,28.0
20130324,40.0,32.0
20130325,35.0,30.0
20130326,41.5,31.5
20130327,45.0,28.0
20130328,50.5,24.5
20130329,56.0,25.0
20130330,60.5,29.0
20130331,59.5,41.0
20130401,49.0,34.0
20130402,47.5,23.0
20130403,49.0,23.0
20130404,55.0,30.0
20130405,62.0,29.0
20130406,68.0,34.0
20130407,73.5,54.5
20130408,73.0,52.0
20130409,80.5,48.0
20130410,83.0,60.0
20130411,71.0,58.0
20130412,59.0,40.0
20130413,59.0,37.0
20130414,70.5,35.5
20130415,69.0,51.0
20130416,80.0,55.0
20130417,79.0,57.0
20130418,81.0,60.0
20130419,76.0,40.0
20130420,51.0,35.5
20130421,56.0,32.5
20130422,69.0,33.0
20130423,71.0,40.0
20130424,67.0,36.0
20130425,60.0,32.0
20130426,62.0,31.0
20130427,64.0,38.0
20130428,67.5,51.5
20130429,65.0,50.0
20130430,77.0,46.0
20130501,83.0,49.0
20130502,76.0,58.0
20130503,77.0,58.0
20130504,73.5,57.0
20130505,60.0,53.0
20130506,63.0,53.0
20130507,72.0,56.0
20130508,77.5,52.0
20130509,80.5,53.0
20130510,70.0,57.0
20130511,61.5,44.5
20130512,58.0,37.5
20130513,62.0,37.0
20130514,80.0,41.0
20130515,86.0,60.0
20130516,78.0,62.0
20130517,80.0,58.0
20130518,79.0,63.0
20130519,83.0,61.5
20130520,84.5,63.5
20130521,86.0,64.5
20130522,80.0,62.0
20130523,71.0,53.0
20130524,66.5,46.5
20130525,66.0,43.0
20130526,71.0,51.0
20130527,83.0,55.0
20130528,82.5,63.0
20130529,85.0,66.5
20130530,87.5,67.0
20130531,84.5,69.0
20130601,81.0,66.5
20130602,79.0,64.5
20130603,72.0,52.0
20130604,76.0,50.0
20130605,82.0,52.0
20130606,76.0,57.0
20130607,76.0,60.0
20130608,75.0,57.0
20130609,81.0,60.0
20130610,79.0,64.0
20130611,85.0,63.0
20130612,90.0,66.0
20130613,83.0,64.0
20130614,81.0,56.0
20130615,83.0,56.0
20130616,78.0,64.0
20130617,87.0,63.0
20130618,86.0,66.0
20130619,83.0,56.0
20130620,85.0,56.0
20130621,87.0,58.0
20130622,88.0,65.0
20130623,88.0,64.0
20130624,86.0,63.0
20130625,90.0,66.5
20130626,87.0,67.0
20130627,86.0,67.0
20130628,86.0,65.0
20130629,77.5,61.0
20130630,78.5,64.0
20130701,79.0,63.0
20130702,81.0,65.0
20130703,81.0,66.0
20130704,72.5,67.0
20130705,77.5,66.0
20130706,76.5,67.0
20130707,82.5,65.0
20130708,87.0,66.0
20130709,89.0,74.0
20130710,90.0,70.0
20130711,83.0,66.0
20130712,81.5,58.5
20130713,84.0,65.5
20130714,89.5,66.5
20130715,91.0,70.0
20130716,93.0,71.0
20130717,93.0,73.0
20130718,93.5,72.5
20130719,91.0,74.0
20130720,90.0,71.0
20130721,88.0,68.0
20130722,82.0,69.0
20130723,88.0,68.0
20130724,79.0,59.0
20130725,78.0,55.0
20130726,80.0,56.0
20130727,77.0,62.0
20130728,74.5,53.5
20130729,79.0,54.0
20130730,80.0,56.0
20130731,77.5,65.0
20130801,82.0,64.0
20130802,84.0,57.0
20130803,82.0,65.0
20130804,79.5,58.5
20130805,80.0,54.0
20130806,82.0,58.0
20130807,84.0,67.0
20130808,85.0,70.0
20130809,83.0,69.0
20130810,85.0,68.0
20130811,87.0,67.5
20130812,86.0,63.0
20130813,81.0,60.0
20130814,72.0,51.0
20130815,75.0,49.5
20130816,79.0,52.0
20130817,83.0,54.5
20130818,83.5,58.0
20130819,85.0,61.0
20130820,87.0,60.5
20130821,87.0,64.0
20130822,88.0,66.5
20130823,86.0,65.0
20130824,87.0,59.0
20130825,87.0,59.5
20130826,89.0,61.0
20130827,90.0,69.0
20130828,95.0,74.0
20130829,87.0,69.0
20130830,89.0,66.0
20130831,91.0,69.0
20130901,86.0,68.0
20130902,86.0,69.0
20130903,76.0,58.0
20130904,80.0,54.0
20130905,85.0,57.0
20130906,82.0,52.5
20130907,85.5,55.0
20130908,88.5,63.0
20130909,90.0,66.5
20130910,92.0,72.0
20130911,92.0,69.0
20130912,82.0,67.0
20130913,67.0,53.5
20130914,71.0,43.0
20130915,78.0,44.0
20130916,73.5,54.5
20130917,77.0,50.0
20130918,77.5,54.5
20130919,81.0,61.5
20130920,86.0,64.0
20130921,75.0,55.5
20130922,69.5,47.0
20130923,70.0,45.0
20130924,75.0,44.0
20130925,74.5,47.5
20130926,78.0,47.0
20130927,80.0,48.0
20130928,80.0,50.0
20130929,69.0,53.0
20130930,73.0,57.5
20131001,77.5,55.5
20131002,79.0,56.5
20131003,79.5,63.0
20131004,82.5,61.5
20131005,81.0,64.0
20131006,74.0,52.0
20131007,62.0,45.0
20131008,68.0,41.0
20131009,73.0,43.0
20131010,74.0,41.0
20131011,78.0,44.0
20131012,78.5,48.0
20131013,75.5,51.0
20131014,72.0,44.0
20131015,74.0,48.0
20131016,70.0,47.5
20131017,56.5,42.0
20131018,64.0,39.5
20131019,51.5,36.5
20131020,61.0,36.0
20131021,66.0,36.0
20131022,55.0,33.0
20131023,48.0,35.0
20131024,45.0,35.0
20131025,49.0,28.5
20131026,54.0,28.0
20131027,58.0,31.0
20131028,62.0,30.0
20131029,57.5,31.0
20131030,63.0,49.0
20131031,65.0,55.0
20131101,64.5,49.0
20131102,58.0,42.0
20131103,56.0,36.0
20131104,58.0,34.0
20131105,61.5,43.5
20131106,65.5,44.5
20131107,50.0,37.0
20131108,51.0,29.0
20131109,61.0,32.0
20131110,52.0,29.0
20131111,56.0,26.0
20131112,37.5,24.5
20131113,40.0,20.0
20131114,53.5,23.0
20131115,54.0,30.0
20131116,61.0,45.0
20131117,65.0,49.0
20131118,54.0,34.0
20131119,42.0,27.0
20131120,50.0,27.0
20131121,55.0,35.5
20131122,55.0,38.5
20131123,40.0,23.0
20131124,29.0,15.0
